name,description,logoid,update_mode,type,typespecs,close,pricescale,minmov,fractional,minmove2,currency,change,volume,relative_volume_10d_calc,market_cap_basic,fundamental_currency_code,price_earnings_ttm,earnings_per_share_diluted_ttm,earnings_per_share_diluted_yoy_growth_ttm,dividends_yield_current,sector.tr,market,sector,recommendation_mark
ACT,"Enact Holdings, Inc.",enact,streaming,stock,common,34.38,100,1,false,0,USD,1.23674912,340401,1.35641976,5280399056.999999,USD,7.87159996,4.3676,6.23662191,2.15241,Finance,america,Finance,1.571429
ACTG,Acacia Research Corporation,acacia-research,streaming,stock,common,4.2,100,1,false,0,USD,0.96153846,127229,1.14058137,408946270,USD,9.06735751,0.4632,,0,Commercial services,america,Commercial Services,1
ACTU,"Actuate Therapeutics, Inc.",,streaming,stock,common,7.24,100,1,false,0,USD,4.47330447,24047,0.96919549,141409000,USD,,,,0,Health technology,america,Health Technology,1
ACU,Acme,acme,streaming,stock,common,39.09,100,1,false,0,USD,3.54966887,3257,0.51427398,146253396.00000003,USD,7.99877225,4.887,196.55925724,1.53492,Distribution services,america,Distribution Services,1
ACVA,ACV Auctions Inc.,acv-auctions,streaming,stock,common,16.06,100,1,false,0,USD,-0.18645121,2136804,0.78190561,2710368496,USD,,-0.4832,-2.74293004,0,Retail trade,america,Retail Trade,1.230769
ACXP,"Acurx Pharmaceuticals, Inc.",acurx-pharmaceuticals,streaming,stock,common,0.7095,10000,1,false,0,USD,3.42565598,157246,0.23129762,13859192,USD,,-1.0958,-4.10412312,0,Health technology,america,Health Technology,1
ADBE,Adobe Inc.,adobe,streaming,stock,common,438.56,100,1,false,0,USD,0.3133649,3936914,1.47016457,190909176720,USD,35.34266005,12.4088,4.98316384,0,Technology services,america,Technology Services,1.414634
ADCT,ADC Therapeutics SA,adc-therapeutics-sa,streaming,stock,common,1.76,100,1,false,0,USD,11.39240506,635508,1.85004867,170173732,USD,,-2.3992,-9.32786512,0,Health technology,america,Health Technology,1.142857
ADD,"Color Star Technology Co., Ltd.",color-star-technology-co-ltd,streaming,stock,common,1.14,100,1,false,0,USD,0,141055,0.40616695,700686,USD,,-0.9722,98.82425645,0,Technology services,america,Technology Services,
ADEA,Adeia Inc.,adeia,streaming,stock,common,15.72,100,1,false,0,USD,-0.06357279,890413,0.83111285,1690041431,USD,27.56443977,0.5703,-4.23173804,1.27226,Technology services,america,Technology Services,1.166667
ADGM,"Adagio Medical Holdings, Inc",,streaming,stock,common,0.8326,10000,1,false,0,USD,-45.93506494,756760,4.38119068,12806691,USD,,-17.32,-19537.18820862,0,Health technology,america,Health Technology,
ADI,"Analog Devices, Inc.",analog-devices,streaming,stock,common,230.06,100,1,false,0,USD,2.77417914,4631189,0.87989326,114104345695,USD,73.36564832,3.1358,-43.87729534,1.59958,Electronic technology,america,Electronic Technology,1.424242
ADIL,"Adial Pharmaceuticals, Inc",adial-pharmaceuticals,streaming,stock,common,0.785,10000,1,false,0,USD,1.94805195,99888,0.02233843,5082552,USD,,-4.3103,45.88992945,0,Health technology,america,Health Technology,1.25
ADM,Archer-Daniels-Midland Company,archer-daniels-midland,streaming,stock,common,47.2,100,1,false,0,USD,1.30929384,6678216,1.6835687,22642173681,USD,13.06465899,3.6128,-43.59935057,4.25847,Process industries,america,Process Industries,2.107143
ADMA,ADMA Biologics Inc,adma-biologics,streaming,stock,common,16.39,100,1,false,0,USD,6.15284974,3496550,1.8198799,3874435947,USD,59.31958017,0.2763,,0,Health technology,america,Health Technology,1
ADN,"Advent Technologies Holdings, Inc.",advent-technologies,streaming,stock,common,5.04,100,1,false,0,USD,3.91752577,12290,1.12723337,13288000,USD,,-24.8971,52.7467939,0,Electronic technology,america,Electronic Technology,
ADNT,Adient plc,adient,streaming,stock,common,15.83,100,1,false,0,USD,-0.69008783,1327375,1.4846974,1328654530.9999998,USD,1008.28025478,0.0157,-99.30209815,0,Producer manufacturing,america,Producer Manufacturing,1.884615
ADP,"Automatic Data Processing, Inc.",automatic-data-processing,streaming,stock,common,315.18,100,1,false,0,USD,1.24638612,3289104,2.34105827,128237570637.00002,USD,32.88159995,9.5853,11.55426244,1.82118,Technology services,america,Technology Services,1.925
ADPT,Adaptive Biotechnologies Corporation,adaptive-biotechnologies,streaming,stock,common,8.26,100,1,false,0,USD,1.2254902,1198029,0.6965681,1219006564.0000002,USD,,-1.085,30.44871795,0,Health technology,america,Health Technology,1.25
ADSE,ADS-TEC ENERGY PLC,ads-tec-energy-plc,streaming,stock,common,15,100,1,false,0,USD,2.59917921,249757,1.86765345,772436314.0000001,USD,,-1.5456,-76.23717218,0,Producer manufacturing,america,Producer Manufacturing,2
ADSK,"Autodesk, Inc.",autodesk,streaming,stock,common,274.21,100,1,false,0,USD,-2.8829467,5094238,2.92178304,58955148163,USD,53.47204618,5.1281,22.12088017,0,Technology services,america,Technology Services,1.421875
ADT,ADT Inc.,adt,streaming,stock,common,8.19,100,1,false,0,USD,0.86206897,29954258,2.88186429,6730203638,USD,15.53784861,0.5271,14.33839479,2.6862,Commercial services,america,Commercial Services,2
ADTN,"ADTRAN Holdings, Inc.",adtran,streaming,stock,common,10.57,100,1,false,0,USD,0,4193963,3.3434488,838263587,USD,,-5.6888,-70.40498442,0,Electronic technology,america,Electronic Technology,1.428571
ADTX,"Aditxt, Inc.",,streaming,stock,common,0.0617,10000,1,false,0,USD,-10.96681097,131801308,0.49505117,4867681,USD,,-981.6484,88.51621352,0,Health technology,america,Health Technology,
ADUS,Addus HomeCare Corporation,addus-homecare,streaming,stock,common,95.77,100,1,false,0,USD,-1.0129199,247319,0.86894028,1740415212.0000005,USD,22.61660172,4.2345,10.36828525,0,Health services,america,Health Services,1.208333
ADV,Advantage Solutions Inc.,advantage-solutions,streaming,stock,common,2.51,100,1,false,0,USD,0.4,572271,1.88285997,805091919,USD,,-0.7072,84.96662557,0,Commercial services,america,Commercial Services,1.666667
ADVM,"Adverum Biotechnologies, Inc.",adverum-biotechnologies,streaming,stock,common,4.71,100,1,false,0,USD,7.04545455,270088,1.16141306,97979604,USD,,-6.033,51.9520237,0,Health technology,america,Health Technology,1.125
AEE,Ameren Corporation,ameren,streaming,stock,common,101.56,100,1,false,0,USD,2.10113602,1852409,0.79457323,27411678090.999996,USD,22.97217824,4.421,1.07453132,2.63883,Utilities,america,Utilities,1.684211
AEHL,Antelope Enterprise Holdings Limited,antelope-enterprise-limited,streaming,stock,common,0.1145,10000,1,false,0,USD,-7.13706407,1007896,0.23023693,3815053,USD,,-3.0181,,0,Producer manufacturing,america,Producer Manufacturing,
AEHR,Aehr Test Systems,aehr-test-systems,streaming,stock,common,9.64,100,1,false,0,USD,-0.51599587,744551,0.8062528,286421814,USD,12.91013794,0.7467,5.22829763,0,Electronic technology,america,Electronic Technology,1.5
AEI,Alset Inc.,alset,streaming,stock,common,0.915,10000,1,false,0,USD,-8.04020101,130918,0.77156596,9822634,USD,,-4.2838,7.16050453,0,Finance,america,Finance,
AEIS,"Advanced Energy Industries, Inc.",advanced-energy-industries,streaming,stock,common,115.17,100,1,false,0,USD,-1.08219531,354994,0.82090034,4344404902,USD,80.80404125,1.4253,-58.0683122,0.347313,Electronic technology,america,Electronic Technology,1.461538
AEMD,"Aethlon Medical, Inc.",aethlon-medical,streaming,stock,common,0.5177,10000,1,false,0,USD,-7.50402001,341133,1.10131541,7484439,USD,,-1.5942,68.25504291,0,Health technology,america,Health Technology,1.5
AENT,Alliance Entertainment Holding Corporation,alliance-entertainment,streaming,stock,common,4.16,100,1,false,0,USD,5.3164557,96722,0.75156748,211982654.99999997,USD,32.14837713,0.1294,,0,Distribution services,america,Distribution Services,1
AEO,"American Eagle Outfitters, Inc.",american-eagle-outfitters,streaming,stock,common,13.09,100,1,false,0,USD,0,5610743,1.37168193,2514612278.9999995,USD,11.20815138,1.1679,5.4537246,3.81971,Retail trade,america,Retail Trade,1.846154
AEON,"AEON Biopharma, Inc.",aeon-biopharma,streaming,stock,common,0.75,10000,1,false,0,USD,-11.76470588,4045462,3.74561469,833028,USD,,-17.3815,-261.65077889,0,Health technology,america,Health Technology,
AEP,"American Electric Power Company, Inc.",american-electric-power,streaming,stock,common,106.05,100,1,false,0,USD,0.8463294,4391030,1.3443605,56546982711.99999,USD,18.97918643,5.5877,31.55267805,3.41348,Utilities,america,Utilities,1.772727
AER,AerCap Holdings N.V.,aercap,streaming,stock,common,103.1,100,1,false,0,USD,0.54612834,2642028,1.40975302,20877046479,USD,8.1698958,12.6195,16.79855616,0.727449,Finance,america,Finance,1.1875
AERT,"Aeries Technology, Inc.",aeries-technology,streaming,stock,common,0.6135,10000,1,false,0,USD,5.63016529,127011,1.04719644,27336330.00000001,USD,0.38310229,1.6014,,0,Technology services,america,Technology Services,
AES,The AES Corporation,aes,streaming,stock,common,11.59,100,1,false,0,USD,11.65703276,71508424,5.00275889,8240803486.000001,USD,4.88226126,2.3739,624.85496183,5.98318,Utilities,america,Utilities,1.4375
AESI,Atlas Energy Solutions Inc.,atlas-energy-solutions,streaming,stock,common,19.38,100,1,false,0,USD,-0.76804916,1506901,0.94181571,2359322831,USD,35.82255083,0.541,-48.67659615,4.54076,Industrial services,america,Industrial Services,1.636364
