name,description,logoid,update_mode,type,typespecs,market_cap_basic,fundamental_currency_code,Perf.1Y.MarketCap,price_earnings_ttm,price_earnings_growth_ttm,price_sales_current,price_book_fq,price_to_cash_f_operating_activities_ttm,price_free_cash_flow_ttm,price_to_cash_ratio,enterprise_value_current,enterprise_value_to_revenue_ttm,enterprise_value_to_ebit_ttm,enterprise_value_ebitda_ttm
ACHR,Archer Aviation Inc.,archer-aviation,streaming,stock,common,4091661399,USD,158.13480886,,,,5.94413318,,,4.55214881,3257161399,,,
ACHV,"Achieve Life Sciences, Inc.",achieve-life-science,streaming,stock,common,105577131.99999999,USD,10.38381104,,,,3.36467855,,,2.45787801,72511131.99999999,,,
ACI,"Albertsons Companies, Inc.",albertsons,streaming,stock,common,12190141707,USD,1.51193529,11.82620426,,0.15214344,3.621729,4.31088256,13.53763384,54.79029871,26176041707,0.32748339,12.4665627,5.70010925
ACIC,American Coastal Insurance Corporation,united-insurance-holdings-corp,streaming,stock,common,585208228.9999999,USD,-5.51657511,7.84288391,,2.07506429,2.48327268,,,,737551228.9999999,2.43205148,,
ACIU,AC Immune SA,ac-immune,streaming,stock,common,253188223.99999997,USD,-34.94220933,,,5.48906276,1.46139949,5.0132439,5.08741501,1.36864428,69663833.03325212,1.48679457,,
ACIW,"ACI Worldwide, Inc.",aci-worldwide,streaming,stock,common,6041021105.000001,USD,60.98023676,29.97282325,0.39399283,3.63243119,4.23804903,16.99615691,17.75857968,28.17701646,6795523105.000001,4.26241878,21.77807972,15.70482087
ACLS,"Axcelis Technologies, Inc.",axcelis-technologies,streaming,stock,common,1781009858.9999998,USD,-46.08897027,8.92011136,,1.75688328,1.75088479,12.65067008,13.84859768,3.11799052,1253340858.9999998,1.23134292,5.94583719,5.53102293
ACLX,"Arcellx, Inc.",arcellx,streaming,stock,common,3561470820.9999995,USD,-8.32037561,,-0.97218658,30.88018752,7.73828781,,,5.98947035,3027967820.9999995,28.0533633,,
ACM,AECOM,aecom,streaming,stock,common,13275600035.999998,USD,7.58718282,28.46210742,0.04026824,0.80126904,6.02105111,16.0011074,18.26518139,8.45799545,15030748035.999998,0.92669533,15.92349901,13.47103159
ACMR,"ACM Research, Inc.",acm-research,streaming,stock,common,1624566315.0000002,USD,-7.48134897,17.00091755,0.55133356,2.21979059,,,,3.85189566,1556670315.0000002,1.99032667,10.30921148,
ACN,Accenture plc,accenture,streaming,stock,common,217979751923.00003,USD,-11.04162266,29.21329477,2.83541385,3.41295977,7.4621209,22.90819569,24.42554808,26.61199656,218726871923.00003,3.29598024,21.22845455,18.30315318
ACNB,ACNB Corporation,acnb,streaming,stock,common,433837232,USD,42.38129256,10.98332529,26.55078001,2.6384661,1.15555483,,,,691408232,5.23096653,,
ACNT,Ascent Industries Co.,ascent-industries-co,streaming,stock,common,112839364,USD,8.13887219,,,0.77421064,1.19148229,15.26177892,19.15543283,13.22973207,138191364,0.94533776,,
ACOG,Alpha Cognition Inc.,,streaming,stock,common,96278934,USD,84.93179072,,,,,,,9.60456517,96135199,,,
ACON,"Aclarion, Inc.",aclarion-inc,streaming,stock,common,3403218,USD,27.9563843,,,1.50326301,0.04002226,,,0.07138556,2081120,42.22280833,,
ACRS,"Aclaris Therapeutics, Inc.",aclaris-therapeutics,streaming,stock,common,214758458.99999997,USD,166.27630427,,-0.06910315,9.92715387,1.37972156,,,1.66961704,10862458.99999997,0.58022857,,
ACRV,"Acrivon Therapeutics, Inc.",acrivon-therapeutics,streaming,stock,common,165333735.99999997,USD,66.65271054,,-0.11273502,,0.83957215,,,1.07940788,-18106264.00000003,,,
ACT,"Enact Holdings, Inc.",enact,streaming,stock,common,5280399056.999999,USD,18.8209274,7.87159996,1.24673861,4.3670826,1.04815699,7.74216547,7.74216547,,6023449056.999999,5.01213128,,
ACTG,Acacia Research Corporation,acacia-research,streaming,stock,common,408946270,USD,4.10852235,9.06735751,,2.50571935,0.63070639,6.36983348,,1.10375622,139734270,0.84289488,3.59907972,2.13723054
ACTU,"Actuate Therapeutics, Inc.",,streaming,stock,common,141409000,USD,,,,,26.3886864,,,10.45658135,128290542,,,
ACU,Acme,acme,streaming,stock,common,146253396.00000003,USD,-13.76930436,7.99877225,0.03929897,0.81330681,1.3756349,12.49273235,25.90522512,28.1349281,177879396.00000003,0.93380403,12.74938331,9.00354747
ACVA,ACV Auctions Inc.,acv-auctions,streaming,stock,common,2710368496,USD,-4.70596103,,-12.13987981,4.20421221,6.13300135,40.88481873,43.93414984,9.89905439,2604353496,4.08746601,,
ACXP,"Acurx Pharmaceuticals, Inc.",acurx-pharmaceuticals,streaming,stock,common,13859192,USD,-65.85208037,,-0.15253603,,4.46647781,,,2.01470805,8096628,,,
ADBE,Adobe Inc.,adobe,streaming,stock,common,190909176720,USD,-23.03945091,35.34266005,7.0702581,9.00605301,13.7118002,24.11644489,24.67700749,24.63632767,189079176720,8.79233558,24.18201518,21.60164249
ADCT,ADC Therapeutics SA,adc-therapeutics-sa,streaming,stock,common,170173732,USD,-60.03365113,,-0.0706006,2.34205786,,,,0.67265993,20452732,0.28921945,,
ADD,"Color Star Technology Co., Ltd.",color-star-technology-co-ltd,streaming,stock,common,700686,USD,-98.57241782,,,21.10981881,3.22525887,,,2955.2931922,2520126,0.89036483,,
ADEA,Adeia Inc.,adeia,streaming,stock,common,1690041431,USD,40.84767883,27.56443977,,4.75203926,4.28395072,8.4050477,8.47771003,16.1763972,2065066431,5.49184741,14.43042822,9.56562983
ADGM,"Adagio Medical Holdings, Inc",,streaming,stock,common,12806691,USD,-72.9846313,,-4.55e-06,48.13786976,0.1580693,,,0.42823617,-1476309,,,
